rec_000001,user_06326,movie_0771,,False,10,Tablet
rec_000002,user_02180,movie_0985,0.916,False,9,Mobile
rec_000003,user_03535,movie_0834,0.816,False,2,Tablet
rec_000004,user_05025,movie_0718,0.771,False,16,Mobile
rec_000005,user_06794,movie_0718,0.251,False,9,Tablet
rec_000006,user_03345,movie_0346,0.975,False,13,Smart TV
rec_000007,user_01519,movie_0264,0.722,False,20,Mobile
rec_000008,user_03328,movie_0385,0.755,False,11,Tablet
rec_000009,user_04944,movie_0957,0.59,False,14,Tablet
rec_000010,user_07953,movie_0815,,False,13,Tablet
rec_000011,user_00713,movie_0578,0.496,False,3,Tablet
rec_000012,user_06987,movie_0779,0.231,False,19,Tablet
rec_000013,user_04332,movie_0760,0.23,False,14,Mobile
rec_000014,user_09265,movie_0049,0.426,False,15,Smart TV
rec_000015,user_02626,movie_0422,0.218,False,20,Mobile
rec_000016,user_05233,movie_0446,0.2,False,5,Mobile
rec_000017,user_08586,movie_0738,0.963,False,9,Mobile
rec_000018,user_06771,movie_0246,0.76,False,6,Laptop
rec_000019,user_08374,movie_0793,0.931,True,1,Smart TV
rec_000020,user_02188,movie_0077,0.622,True,19,Tablet
rec_000021,user_03307,movie_0087,,False,15,Tablet
rec_000022,user_02648,movie_0160,0.126,False,16,Laptop
rec_000023,user_06640,movie_0938,0.747,False,15,Laptop
rec_000024,user_05145,movie_0018,0.53,False,4,Smart TV
rec_000025,user_02886,movie_0535,0.25,True,2,Smart TV
rec_000026,user_07909,movie_0354,0.967,False,16,Laptop
rec_000027,user_01828,movie_0570,0.151,False,5,Mobile
rec_000028,user_09984,movie_0330,0.757,False,14,Tablet
rec_000029,user_01745,movie_0939,0.486,False,15,Mobile
rec_000030,user_01099,movie_0409,0.56,False,1,Mobile
rec_000031,user_09940,movie_0067,0.154,True,11,Smart TV
rec_000032,user_04183,movie_0267,0.222,False,3,Tablet
rec_000033,user_02018,movie_0987,0.647,False,8,Smart TV
rec_000034,user_05197,movie_0596,0.707,False,5,Smart TV
rec_000035,user_08425,movie_0777,0.337,False,7,Tablet
rec_000036,user_01418,movie_0505,0.456,False,2,Smart TV
rec_000037,user_05357,movie_0461,0.297,False,10,Tablet
rec_000038,user_01533,movie_0077,0.517,False,15,Smart TV
rec_000039,user_03034,movie_0574,0.401,False,3,Smart TV
rec_000040,user_09111,movie_0008,0.609,True,20,Mobile
rec_000041,user_07438,movie_0006,0.742,False,19,Tablet
rec_000042,user_08573,movie_0391,0.396,False,2,Mobile
rec_000043,user_06750,movie_0477,0.12,False,12,Smart TV
rec_000044,user_04205,movie_0820,0.458,False,8,Mobile
rec_000045,user_03475,movie_0877,0.918,False,1,Mobile
rec_000046,user_08399,movie_0268,0.778,True,9,Smart TV
rec_000047,user_05979,movie_0050,,False,6,Laptop
rec_000048,user_00903,movie_0677,0.99,False,20,Smart TV
rec_000049,user_06636,movie_0394,0.165,False,16,Tablet
rec_000050,user_03822,movie_0162,0.806,False,10,Mobile
rec_000051,user_07611,movie_0951,0.79,False,12,Tablet
rec_000052,user_08518,movie_0248,0.406,False,8,Laptop
rec_000053,user_01320,movie_0146,0.857,False,20,Smart TV
rec_000054,user_08822,movie_0043,0.54,True,16,Laptop
rec_000055,user_03772,movie_0587,0.14,False,9,Mobile
rec_000056,user_03698,movie_0342,0.781,False,10,Laptop
rec_000057,user_00289,movie_0619,0.7,False,2,Smart TV
rec_000058,user_09102,movie_0502,0.58,False,9,Tablet
rec_000059,user_09654,movie_0693,0.256,False,15,Laptop
rec_000060,user_03401,movie_0047,,False,20,Smart TV
rec_000061,user_02335,movie_0854,0.956,False,13,Smart TV
rec_000062,user_09065,movie_1000,0.859,False,19,Tablet
rec_000063,user_03632,movie_0060,0.225,False,16,Laptop
rec_000064,user_09142,movie_0569,0.83,False,13,Mobile
rec_000065,user_09569,movie_0124,0.399,False,20,Laptop
rec_000066,user_09893,movie_0738,0.246,False,11,Mobile
rec_000067,user_09088,movie_0140,0.365,False,6,Mobile
rec_000068,user_02835,movie_0318,0.583,False,8,Smart TV
rec_000069,user_03265,movie_0172,0.77,False,9,Smart TV
rec_000070,user_04922,movie_0931,0.261,False,10,Mobile
